temp,dwpt,rhum,prcp,wspd,top5_count,manufacturer
28.3,16.2,48.0,0.0,18.4,1,Toyota
20.0,7.0,43.0,0.0,25.9,0,Toyota
28.3,18.4,55.0,0.0,9.4,2,Toyota
27.2,21.7,72.0,0.0,13.0,2,Toyota
27.2,18.2,58.0,0.0,0.0,2,Toyota
27.2,12.8,41.0,0.0,11.2,1,Toyota
23.3,18.8,76.0,0.0,9.4,2,Toyota
22.2,12.7,55.0,0.0,18.4,1,Toyota
21.1,7.7,42.0,0.0,0.0,0,Toyota
21.0,17.0,78.0,1.5,7.6,1,Toyota
28.0,21.1,66.0,0.0,0.0,3,Toyota
29.4,22.1,65.0,0.0,14.8,1,Toyota
20.5,2.8,31.0,0.0,9.4,2,Toyota
17.8,15.1,84.0,0.0,9.4,1,Toyota
4.0,1.0,81.0,0.0,9.4,2,Toyota
16.7,13.2,80.0,0.0,7.6,2,Toyota
20.0,13.2,65.0,0.0,0.0,3,Toyota
17.8,4.4,41.0,0.0,7.6,1,Toyota
17.2,11.9,71.0,0.0,5.4,1,Toyota
22.8,11.2,48.0,0.0,11.2,1,Toyota
14.8,-3.1,29.0,0.0,24.1,2,Toyota
22.8,18.8,78.0,0.0,11.2,2,Toyota
25.6,15.6,54.0,0.0,11.2,1,Toyota
27.2,-4.7,12.0,0.0,5.4,1,Toyota
16.9,1.3,35.0,0.0,5.4,2,Toyota
16.6,5.2,47.0,0.5,33.5,1,Toyota
25.0,7.6,33.0,0.0,20.5,1,Toyota
13.2,-0.5,39.0,0.0,0.0,0,Toyota
22.2,5.6,34.0,0.0,13.0,2,Toyota
12.8,-0.5,40.0,0.0,14.8,2,Toyota
17.8,4.4,41.0,0.0,7.6,3,Toyota
10.0,7.8,86.0,0.0,0.0,2,Toyota
27.0,14.1,45.0,0.0,9.4,2,Toyota
23.0,4.0,29.0,0.0,0.0,1,Toyota
20.6,-2.5,21.0,0.0,22.3,1,Toyota
17.8,13.9,78.0,0.0,5.4,0,Toyota
20.0,15.6,76.0,0.0,7.6,2,Toyota
27.2,12.0,39.0,0.0,24.1,1,Toyota
23.3,18.4,74.0,0.0,18.4,2,Toyota
27.8,22.3,72.0,0.0,9.4,2,Toyota
24.4,19.9,76.0,0.0,7.6,0,Toyota
21.1,10.0,49.0,0.0,27.7,2,Toyota
17.8,15.6,87.0,0.3,5.4,2,Toyota
22.2,11.0,49.0,0.0,9.4,2,Toyota
28.0,23.9,82.0,0.0,9.4,2,Toyota
20.0,14.4,70.0,0.0,9.4,1,Toyota
16.8,4.5,44.0,0.0,7.6,2,Toyota
19.4,14.4,73.0,0.0,16.6,1,Toyota
2.8,-5.6,54.0,0.0,20.5,0,Toyota
13.9,2.2,45.0,0.0,11.2,4,Toyota
21.0,16.0,73.0,0.0,0.0,2,Toyota
15.0,13.4,90.0,0.0,0.0,1,Toyota
11.5,0.0,45.0,0.0,0.0,2,Toyota
13.9,1.8,44.0,0.0,5.4,2,Toyota
28.3,-0.8,15.0,0.0,5.4,3,Toyota
25.1,21.0,78.0,0.0,16.6,1,Toyota
18.3,13.4,73.0,0.0,13.0,1,Toyota
16.0,14.0,88.0,0.3,18.4,3,Toyota
22.1,-6.7,14.0,0.0,13.0,0,Toyota
20.0,9.0,49.0,0.0,16.6,3,Toyota
16.7,15.1,90.0,0.0,13.0,1,Toyota
11.0,10.1,94.0,0.3,25.9,0,Toyota
21.0,8.9,46.0,0.0,13.0,0,Toyota
13.3,9.9,80.0,0.0,13.0,2,Toyota
22.8,7.4,37.0,0.0,7.6,1,Toyota
