dirt track,paved track,road course,temp,dwpt,rhum,prcp,wspd,miles_completed,Chevrolet_fieldcount,Ford_fieldcount,Toyota_fieldcount,top5_count,manufacturer
0,1,0,11.1,-6.3,29.0,0.0,0.0,400.0,15,12,12,3,Toyota
0,1,0,17.8,2.1,35.0,0.0,7.6,600.0,14,12,13,2,Toyota
0,1,0,9.0,7.9,93.0,1.3,0.0,510.0,14,12,13,2,Toyota
0,1,0,28.9,-8.7,8.0,0.0,16.6,400.0,14,13,12,1,Toyota
0,0,1,12.2,10.6,90.0,0.5,16.6,218.9,14,12,13,1,Toyota
0,1,0,20.6,17.8,84.0,1.8,16.6,318.458,14,11,14,0,Toyota
0,1,0,19.0,16.0,83.0,0.0,13.0,415.0,15,12,12,0,Toyota
0,1,0,29.0,15.9,45.0,0.0,14.8,400.5,15,13,12,1,Toyota
0,1,0,22.2,6.8,37.0,0.0,0.0,500.0,15,12,13,1,Toyota
0,1,0,26.0,17.1,58.0,0.3,9.4,400.0,14,11,15,0,Toyota
0,1,0,24.4,18.3,69.0,0.0,18.4,500.0,15,11,13,1,Toyota
0,0,1,25.6,21.1,76.0,0.0,7.6,220.50000000000003,15,12,13,1,Toyota
0,1,0,20.0,9.0,49.0,0.0,16.6,400.0,14,13,13,1,Toyota
0,1,0,21.1,13.8,63.0,0.0,7.6,266.5,14,12,14,2,Toyota
0,1,0,26.1,22.8,82.0,0.0,5.4,500.5,15,13,12,1,Toyota
0,1,0,28.3,12.2,37.0,0.0,14.8,300.0,15,12,13,4,Toyota
0,1,0,31.1,24.0,66.0,0.0,14.8,317.40000000000003,15,11,13,1,Toyota
0,1,0,21.1,12.8,59.0,0.0,0.0,400.0,15,11,12,1,Toyota
0,1,0,19.4,12.2,63.0,0.0,0.0,400.5,16,13,11,0,Toyota
0,1,0,24.4,22.3,88.0,0.0,5.4,400.5,15,12,13,0,Toyota
0,1,0,20.6,14.5,68.0,0.0,0.0,501.0,17,13,10,2,Toyota
0,1,0,20.6,7.9,44.0,0.0,7.6,263.0,15,12,12,2,Toyota
0,1,0,14.4,10.6,78.0,0.0,0.0,500.08,16,11,13,2,Toyota
0,1,0,24.4,17.9,67.0,0.0,7.6,501.0,15,13,12,2,Toyota
0,1,0,13.9,2.2,45.0,0.0,14.8,312.0,15,12,12,1,Toyota
0,1,0,31.7,9.3,25.0,0.0,22.3,400.5,15,12,13,0,Toyota
0,1,0,16.0,2.0,39.0,0.0,7.6,525.14,14,13,13,0,Toyota
0,1,0,11.4,9.0,85.0,0.0,0.0,266.5,15,12,12,0,Toyota
0,1,0,14.4,9.0,70.0,0.0,0.0,267.208,15,12,13,3,Toyota
0,1,0,13.3,1.6,45.0,0.0,9.4,378.0,15,11,13,0,Toyota
0,1,0,22.7,-8.2,12.0,0.0,14.8,501.0,14,12,14,2,Toyota
0,1,0,23.3,18.6,75.0,0.0,16.6,532.0,15,12,13,1,Toyota
0,1,0,16.7,12.8,78.0,0.0,0.0,520.0,17,11,11,1,Toyota
0,1,0,18.2,-1.1,27.0,0.0,29.5,505.42,17,10,13,1,Toyota
