temp,dwpt,rhum,prcp,wdir,wspd,pres,coco,date,rain_binary,location
19.4,14.0,71.0,0.0,200.0,9.4,1012.3,No Rain,1996-09-22,False, Martinsville
27.2,22.2,74.0,0.0,160.0,27.7,1004.7,No Rain,1996-09-07,False, Richmond
25.0,15.9,57.0,0.0,,7.6,1020.4,No Rain,1997-10-12,False, Talladega
21.1,12.5,58.0,0.0,150.0,5.4,1020.0,No Rain,1997-10-05,False, Charlotte
6.7,4.4,85.0,0.0,270.0,14.8,1019.3,No Rain,1997-11-16,False, Atlanta
31.0,2.2,16.0,0.0,190.0,14.8,1012.2,No Rain,1997-11-02,False, Phoenix
11.1,10.0,93.0,0.0,190.0,13.0,1018.4,No Rain,1997-03-02,False, Richmond
20.0,2.8,32.0,0.0,220.0,5.4,1025.1,No Rain,1997-03-09,False, Atlanta
16.7,15.1,90.0,0.0,,0.0,1005.3,No Rain,1997-04-13,False, Bristol
11.7,6.2,69.0,0.0,310.0,9.4,1004.5,No Rain,1997-04-20,False, Martinsville
22.8,9.6,43.0,0.0,210.0,33.5,1003.9,No Rain,1997-04-06,False, Texas
21.2,9.8,48.0,0.0,360.0,16.6,1017.7,No Rain,1997-05-10,False, Talladega
25.4,15.1,53.0,0.0,180.0,14.8,1016.7,No Rain,1997-05-25,False, Charlotte
16.7,10.5,67.0,0.0,280.0,27.7,1018.9,No Rain,1997-05-04,False, Sonoma
22.2,17.8,76.0,0.0,110.0,5.4,1013.9,No Rain,1997-06-01,False, Dover
21.1,9.0,46.0,0.0,110.0,11.2,1013.6,No Rain,1997-06-15,False, Michigan
23.3,16.6,66.0,0.0,250.0,13.0,1010.1,No Rain,1997-06-22,False, California (Auto Club)
16.1,6.8,54.0,0.0,110.0,9.4,1021.1,No Rain,1997-06-08,False, Pocono
26.1,13.9,47.0,0.0,360.0,5.4,1014.0,No Rain,1997-07-13,False, New Hampshire
23.9,7.9,36.0,0.0,360.0,14.8,1013.8,No Rain,1997-07-20,False, Pocono
25.0,21.9,83.0,0.0,260.0,22.3,1014.9,No Rain,1997-07-05,False, Daytona
21.1,20.6,97.0,0.0,190.0,18.7,1010.9,No Rain,1997-08-17,False, Michigan
27.2,16.8,53.0,0.0,220.0,11.2,1019.5,No Rain,1997-08-02,False, Indianapolis
19.4,9.3,52.0,0.0,340.0,14.8,1016.2,No Rain,1997-08-23,False, Bristol
18.9,15.6,81.0,0.0,,0.0,1015.7,No Rain,1997-09-14,False, New Hampshire
19.4,16.1,81.0,0.3,320.0,29.5,1009.9,Light Rain,1997-09-21,True, Dover
16.1,15.6,97.0,0.0,10.0,7.6,1003.3,No Rain,1997-09-29,False, Martinsville
18.9,13.1,69.0,0.0,280.0,9.4,1019.0,No Rain,1997-09-06,False, Richmond
19.4,13.3,68.0,0.0,,0.0,1017.2,No Rain,1998-10-11,False, Talladega
25.0,20.9,78.0,0.0,50.0,13.0,1021.4,No Rain,1998-10-17,False, Daytona
29.0,11.1,33.0,0.0,180.0,5.4,1012.2,No Rain,1998-10-25,False, Phoenix
20.0,11.2,57.0,0.0,160.0,11.2,1019.1,No Rain,1998-10-04,False, Charlotte
11.1,2.1,54.0,0.0,130.0,5.4,1026.8,No Rain,1998-11-08,False, Atlanta
13.3,8.4,72.0,0.0,80.0,16.6,1020.0,No Rain,1998-02-15,False, Daytona
12.2,-6.3,27.0,0.0,,7.6,1023.5,No Rain,1998-03-01,False, Las Vegas
21.7,9.9,47.0,0.0,270.0,22.3,1014.9,No Rain,1998-03-29,False, Bristol
15.6,15.6,100.0,2.0,150.0,16.6,1001.0,Light Rain,1998-03-09,True, Atlanta
12.2,11.7,97.0,1.0,110.0,7.6,1011.4,Light Rain,1998-04-20,True, Martinsville
21.4,9.9,48.0,0.0,200.0,14.8,1017.2,No Rain,1998-04-26,False, Talladega
15.0,6.0,55.0,0.0,360.0,18.7,1015.3,No Rain,1998-04-05,False, Texas
28.8,19.4,57.0,0.0,240.0,13.0,1012.5,No Rain,1998-05-24,False, Charlotte
21.1,16.1,73.0,0.0,190.0,16.6,1013.5,No Rain,1998-05-03,False, California (Auto Club)
27.2,21.7,72.0,0.0,170.0,9.4,1013.0,No Rain,1998-05-31,False, Dover
22.8,13.8,57.0,0.0,330.0,16.6,1005.6,No Rain,1998-06-14,False, Michigan
27.8,18.2,56.0,0.0,340.0,13.0,1010.4,No Rain,1998-06-21,False, Pocono
18.3,12.3,68.0,0.0,270.0,35.3,1013.1,No Rain,1998-06-28,False, Sonoma
15.6,11.8,78.0,1.5,360.0,14.8,1009.7,Light Rain,1998-06-06,True, Richmond
20.0,10.7,55.0,0.0,340.0,22.3,1010.1,No Rain,1998-07-12,False, New Hampshire
23.3,14.0,56.0,0.0,10.0,5.4,1019.2,No Rain,1998-07-26,False, Pocono
26.1,13.2,45.0,0.0,50.0,13.0,1021.8,No Rain,1998-08-01,False, Indianapolis
21.7,20.0,90.0,6.6,300.0,5.4,1012.9,Moderate Rain,1998-08-16,True, Michigan
24.4,16.6,62.0,0.0,,0.0,1021.6,No Rain,1998-08-22,False, Bristol
21.7,15.5,68.0,0.0,280.0,7.6,1014.3,No Rain,1998-09-12,False, Richmond
22.8,19.4,81.0,0.0,170.0,11.2,1014.5,No Rain,1998-09-20,False, Dover
25.6,19.5,69.0,0.0,200.0,11.2,1018.6,No Rain,1998-09-27,False, Martinsville
18.9,18.9,100.0,3.3,170.0,5.4,1018.7,Moderate Rain,1999-10-11,True, Charlotte
21.7,16.6,73.0,0.0,60.0,5.4,1014.6,No Rain,1999-10-17,False, Talladega
19.4,13.3,68.0,0.0,,0.0,1022.0,No Rain,1999-10-03,False, Martinsville
23.0,19.0,78.0,0.0,40.0,16.6,1016.7,No Rain,1999-11-14,False, Homestead
31.1,2.3,16.0,0.0,290.0,7.6,1013.8,No Rain,1999-11-07,False, Phoenix
14.0,-5.7,25.0,0.0,320.0,13.0,1024.4,No Rain,1999-02-14,False, Daytona
13.3,7.7,69.0,0.5,30.0,7.6,1016.3,Light Rain,1999-03-28,True, Texas
22.8,-10.4,10.0,0.0,200.0,31.7,1003.8,No Rain,1999-03-07,False, Las Vegas
22.8,7.4,37.0,0.0,,0.0,1010.6,No Rain,1999-04-11,False, Bristol
12.8,-2.7,34.0,0.0,300.0,18.7,1012.2,No Rain,1999-04-18,False, Martinsville
22.8,21.1,90.0,0.0,330.0,13.0,1018.4,No Rain,1999-04-25,False, Talladega
15.6,4.3,47.0,0.0,90.0,22.3,1022.6,No Rain,1999-05-15,False, Richmond
17.0,11.1,68.0,0.0,230.0,14.8,1016.5,No Rain,1999-05-02,False, California (Auto Club)
25.6,12.1,43.0,0.0,190.0,5.4,1021.1,No Rain,1999-05-30,False, Charlotte
23.3,20.6,85.0,0.0,50.0,5.4,1018.4,No Rain,1999-06-13,False, Michigan
23.3,8.2,38.0,0.0,120.0,9.4,1027.9,No Rain,1999-06-20,False, Pocono
19.0,10.0,56.0,0.0,300.0,22.3,1010.4,No Rain,1999-06-27,False, Sonoma
20.0,10.7,55.0,0.0,140.0,20.5,1025.1,No Rain,1999-06-06,False, Dover
18.9,10.7,59.0,0.0,330.0,24.1,1009.6,No Rain,1999-07-11,False, New Hampshire
31.7,18.3,45.0,0.0,220.0,24.1,1006.9,No Rain,1999-07-25,False, Pocono
23.3,15.1,60.0,0.0,100.0,13.0,1017.1,No Rain,1999-08-22,False, Michigan
25.0,18.9,69.0,0.0,,0.0,1013.9,No Rain,1999-08-28,False, Bristol
26.7,15.1,49.0,0.0,290.0,13.0,1015.3,No Rain,1999-08-07,False, Indianapolis
21.0,18.0,83.0,0.0,280.0,11.2,1009.7,No Rain,1999-09-11,False, Richmond
12.8,4.0,55.0,0.0,20.0,9.4,1017.9,No Rain,1999-09-19,False, New Hampshire
19.4,11.2,59.0,0.0,330.0,7.6,1017.6,No Rain,1999-09-26,False, Dover
16.7,14.0,84.0,0.0,30.0,9.4,1022.4,No Rain,2000-10-01,False, Martinsville
15.0,10.6,75.0,0.0,,0.0,1022.5,No Rain,2000-10-15,False, Talladega
15.0,8.2,64.0,0.0,350.0,11.2,1020.9,No Rain,2000-10-08,False, Charlotte
24.4,8.8,37.0,0.0,360.0,9.4,1012.9,No Rain,2000-11-12,False, Homestead
4.4,4.4,100.0,0.0,30.0,9.4,1021.5,No Rain,2000-11-20,False, Atlanta
17.8,11.1,65.0,0.0,230.0,11.2,1011.7,No Rain,2000-11-05,False, Phoenix
25.0,15.0,54.0,0.0,270.0,7.6,1021.4,No Rain,2000-02-20,False, Daytona
15.6,12.2,80.0,0.0,280.0,31.7,1010.5,No Rain,2000-03-12,False, Atlanta
16.1,9.3,64.0,0.0,20.0,5.4,1015.0,No Rain,2000-03-26,False, Bristol
19.4,2.7,33.0,0.0,220.0,9.4,1004.7,No Rain,2000-03-05,False, Las Vegas
19.4,13.3,68.0,0.0,290.0,5.4,1016.5,No Rain,2000-04-16,False, Talladega
13.9,12.1,89.0,0.5,360.0,20.5,1011.7,Light Rain,2000-04-02,True, Texas
