"season","race","site","track","track_length","track_type","laps","driver_finish_1","driver_finish_2","driver_finish_3","driver_finish_4","driver_finish_5","manufacturer_finish_1","manufacturer_finish_2","manufacturer_finish_3","manufacturer_finish_4","manufacturer_finish_5","avg_pos_swap","Chevrolet_fieldcount","Ford_fieldcount","Oldsmobile_fieldcount","Pontiac_fieldcount","Buick_fieldcount","Dodge_fieldcount","Toyota_fieldcount","total_fieldcount"
1993,13,"Pocono","Pocono International Raceway",2.5,"paved track",200,"Kyle Petty","Ken Schrader","Harry Gant","Jimmy Spencer","Ted Musgrave","Pontiac","Chevrolet","Chevrolet","Ford","Ford",10.25,13,21,0,6,0,0,0,40
1993,14,"Michigan","Michigan International Speedway",2,"paved track",200,"Ricky Rudd","Jeff Gordon","Ernie Irvan","Dale Jarrett","Rusty Wallace","Chevrolet","Chevrolet","Chevrolet","Chevrolet","Pontiac",10.6829268292683,13,22,0,6,0,0,0,41
1993,15,"Daytona","Daytona International Speedway",2.5,"paved track",160,"Dale Earnhardt","Sterling Marlin","Ken Schrader","Ricky Rudd","Jeff Gordon","Chevrolet","Ford","Chevrolet","Chevrolet","Chevrolet",11.3170731707317,13,23,0,5,0,0,0,41
1993,16,"Loudon","New Hampshire International Speedway",1.058,"paved track",300,"Rusty Wallace","Mark Martin","Davey Allison","Dale Jarrett","Ricky Rudd","Pontiac","Ford","Ford","Chevrolet","Chevrolet",9.2,13,22,0,5,0,0,0,40
1993,17,"Pocono","Pocono International Raceway",2.5,"paved track",200,"Dale Earnhardt","Rusty Wallace","Bill Elliott","Morgan Shepherd","Brett Bodine","Chevrolet","Pontiac","Ford","Ford","Ford",9.65,14,21,0,5,0,0,0,40
1993,18,"Talladega","Talladega Superspeedway",2.66,"paved track",188,"Dale Earnhardt","Ernie Irvan","Mark Martin","Kyle Petty","Dale Jarrett","Chevrolet","Chevrolet","Ford","Pontiac","Chevrolet",12.047619047619,15,22,0,5,0,0,0,42
1993,19,"Watkins Glen","Watkins Glen International",2.45,"road course",90,"Mark Martin","Wally Dallenbach, Jr.","Jimmy Spencer","Bill Elliott","Ken Schrader","Ford","Ford","Ford","Ford","Chevrolet",11.3684210526316,13,19,1,5,0,0,0,38
1993,2,"Rockingham","North Carolina Motor Speedway",1.017,"paved track",492,"Rusty Wallace","Dale Earnhardt","Ernie Irvan","Alan Kulwicki","Mark Martin","Pontiac","Chevrolet","Chevrolet","Ford","Ford",8.55,13,20,0,7,0,0,0,40
1993,20,"Michigan","Michigan International Speedway",2,"paved track",200,"Mark Martin","Morgan Shepherd","Jeff Gordon","Dale Jarrett","Ted Musgrave","Ford","Ford","Chevrolet","Chevrolet","Ford",9.17073170731707,14,22,0,5,0,0,0,41
1993,21,"Bristol","Bristol International Speedway",0.533,"paved track",500,"Mark Martin","Rusty Wallace","Dale Earnhardt","Harry Gant","Rick Mast","Ford","Pontiac","Chevrolet","Chevrolet","Ford",9.82352941176471,11,18,0,5,0,0,0,34
1993,22,"Darlington","Darlington Raceway",1.366,"paved track",351,"Mark Martin","Brett Bodine","Rusty Wallace","Dale Earnhardt","Ernie Irvan","Ford","Ford","Pontiac","Chevrolet","Ford",9.05,12,22,0,6,0,0,0,40
1993,23,"Richmond","Richmond International Raceway",0.75,"paved track",400,"Rusty Wallace","Bill Elliott","Dale Earnhardt","Ricky Rudd","Brett Bodine","Pontiac","Ford","Chevrolet","Chevrolet","Ford",8.88888888888889,12,19,0,5,0,0,0,36
1993,24,"Dover","Dover Downs International Speedway",1,"paved track",500,"Rusty Wallace","Ken Schrader","Darrell Waltrip","Dale Jarrett","Harry Gant","Pontiac","Chevrolet","Chevrolet","Chevrolet","Chevrolet",12.1621621621622,12,19,1,5,0,0,0,37
1993,25,"Martinsville","Martinsville Speedway",0.526,"paved track",500,"Ernie Irvan","Rusty Wallace","Jimmy Spencer","Ricky Rudd","Dale Jarrett","Ford","Pontiac","Ford","Chevrolet","Chevrolet",10.5294117647059,11,18,0,5,0,0,0,34
1993,26,"North Wilkesboro","North Wilkesboro Speedway",0.625,"paved track",400,"Rusty Wallace","Dale Earnhardt","Ernie Irvan","Kyle Petty","Ricky Rudd","Pontiac","Chevrolet","Ford","Pontiac","Chevrolet",7.41176470588235,11,18,0,5,0,0,0,34
1993,27,"Charlotte","Charlotte Motor Speedway",1.5,"paved track",334,"Ernie Irvan","Mark Martin","Dale Earnhardt","Rusty Wallace","Jeff Gordon","Ford","Ford","Chevrolet","Pontiac","Chevrolet",9.85714285714286,13,24,0,5,0,0,0,42
1993,28,"Rockingham","North Carolina Motor Speedway",1.017,"paved track",492,"Rusty Wallace","Dale Earnhardt","Bill Elliott","Harry Gant","Mark Martin","Pontiac","Chevrolet","Ford","Chevrolet","Ford",6.97560975609756,13,23,0,5,0,0,0,41
1993,29,"Phoenix","Phoenix International Raceway",1,"paved track",312,"Mark Martin","Ernie Irvan","Kyle Petty","Dale Earnhardt","Bill Elliott","Ford","Ford","Pontiac","Chevrolet","Ford",10.1395348837209,16,19,1,7,0,0,0,43
1993,3,"Richmond","Richmond International Raceway",0.75,"paved track",400,"Davey Allison","Rusty Wallace","Alan Kulwicki","Dale Jarrett","Kyle Petty","Ford","Pontiac","Ford","Chevrolet","Pontiac",8.16666666666667,11,20,0,5,0,0,0,36
1993,30,"Atlanta","Atlanta Motor Speedway",1.522,"paved track",328,"Rusty Wallace","Ricky Rudd","Darrell Waltrip","Bill Elliott","Dick Trickle","Pontiac","Chevrolet","Chevrolet","Ford","Chevrolet",15.5238095238095,14,22,0,6,0,0,0,42
1993,4,"Atlanta","Atlanta Motor Speedway",1.522,"paved track",328,"Morgan Shepherd","Ernie Irvan","Rusty Wallace","Jeff Gordon","Ricky Rudd","Ford","Chevrolet","Pontiac","Chevrolet","Chevrolet",9.15,12,22,1,5,0,0,0,40
1993,5,"Darlington","Darlington Raceway",1.366,"paved track",367,"Dale Earnhardt","Mark Martin","Dale Jarrett","Ken Schrader","Rusty Wallace","Chevrolet","Ford","Chevrolet","Chevrolet","Pontiac",8.30769230769231,11,20,2,6,0,0,0,39
1993,6,"Bristol","Bristol International Speedway",0.533,"paved track",500,"Rusty Wallace","Dale Earnhardt","Kyle Petty","Jimmy Spencer","Davey Allison","Pontiac","Chevrolet","Pontiac","Ford","Ford",10.2285714285714,10,20,0,5,0,0,0,35
1993,7,"North Wilkesboro","North Wilkesboro Speedway",0.625,"paved track",400,"Rusty Wallace","Kyle Petty","Ken Schrader","Davey Allison","Darrell Waltrip","Pontiac","Pontiac","Chevrolet","Ford","Chevrolet",9.64705882352941,10,19,0,5,0,0,0,34
1993,8,"Martinsville","Martinsville Speedway",0.526,"paved track",500,"Rusty Wallace","Davey Allison","Dale Jarrett","Darrell Waltrip","Kyle Petty","Pontiac","Ford","Chevrolet","Chevrolet","Pontiac",9.05882352941176,11,18,0,5,0,0,0,34
1993,9,"Talladega","Talladega Superspeedway",2.66,"paved track",188,"Ernie Irvan","Jimmy Spencer","Dale Jarrett","Dale Earnhardt","Joe Ruttman","Chevrolet","Ford","Chevrolet","Chevrolet","Ford",8.73170731707317,12,24,0,5,0,0,0,41
1994,1,"Daytona","Daytona International Speedway",2.5,"paved track",200,"Sterling Marlin","Ernie Irvan","Terry Labonte","Jeff Gordon","Morgan Shepherd","Chevrolet","Ford","Chevrolet","Chevrolet","Ford",11.4761904761905,12,25,0,5,0,0,0,42
1994,10,"Sonoma","Sears Point Raceway",2.52,"road course",74,"Ernie Irvan","Geoffrey Bodine","Dale Earnhardt","Wally Dallenbach, Jr.","Rusty Wallace","Ford","Ford","Chevrolet","Pontiac","Ford",10.2790697674419,18,20,0,5,0,0,0,43
1994,11,"Charlotte","Charlotte Motor Speedway",1.5,"paved track",400,"Jeff Gordon","Rusty Wallace","Geoffrey Bodine","Dale Jarrett","Ernie Irvan","Chevrolet","Ford","Ford","Chevrolet","Ford",15.0697674418605,13,25,0,5,0,0,0,43
1994,12,"Dover","Dover Downs International Speedway",1,"paved track",500,"Rusty Wallace","Ernie Irvan","Ken Schrader","Mark Martin","Jeff Gordon","Ford","Ford","Chevrolet","Ford","Chevrolet",15.4285714285714,14,23,0,5,0,0,0,42
1994,13,"Pocono","Pocono International Raceway",2.5,"paved track",200,"Rusty Wallace","Dale Earnhardt","Ken Schrader","Morgan Shepherd","Mark Martin","Ford","Chevrolet","Chevrolet","Ford","Ford",8.71428571428571,14,23,0,5,0,0,0,42
1994,14,"Michigan","Michigan International Speedway",2,"paved track",200,"Rusty Wallace","Dale Earnhardt","Mark Martin","Ricky Rudd","Morgan Shepherd","Ford","Chevrolet","Ford","Ford","Ford",11.952380952381,13,25,0,4,0,0,0,42
1994,15,"Daytona","Daytona International Speedway",2.5,"paved track",160,"Jimmy Spencer","Ernie Irvan","Dale Earnhardt","Mark Martin","Ken Schrader","Ford","Ford","Chevrolet","Ford","Chevrolet",10.6046511627907,15,24,0,4,0,0,0,43
