season,race,site,track,track_length,track_type,laps,driver_finish_1,driver_finish_2,driver_finish_3,driver_finish_4,driver_finish_5,manufacturer_finish_1,manufacturer_finish_2,manufacturer_finish_3,manufacturer_finish_4,manufacturer_finish_5,miles_completed,shortened,Pontiac_top5_count,Toyota_top5_count,Ford_top5_count,Chevrolet_top5_count,Dodge_top5_count,Oldsmobile_top5_count,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,date
1993,10,Sonoma,Sears Point International Raceway,2.52,road course,74,Geoffrey Bodine,Ernie Irvan,Ricky Rudd,Ken Schrader,Kyle Petty,Ford,Chevrolet,Chevrolet,Chevrolet,Pontiac,186.48,False,1,0,1,3,0,0,17.8,9.9,60.0,0.0,,280.0,38.9,,1013.9,,No Rain,1993-5-16
1993,11,Charlotte,Charlotte Motor Speedway,1.5,paved track,400,Dale Earnhardt,Jeff Gordon,Dale Jarrett,Ken Schrader,Ernie Irvan,Chevrolet,Chevrolet,Chevrolet,Chevrolet,Chevrolet,600.0,False,0,0,0,5,0,0,26.7,17.8,58.0,0.0,,310.0,16.6,,1015.9,,No Rain,1993-5-30
1993,12,Dover,Dover Downs International Speedway,1.0,paved track,500,Dale Earnhardt,Dale Jarrett,Davey Allison,Mark Martin,Ken Schrader,Chevrolet,Chevrolet,Ford,Ford,Chevrolet,500.0,False,0,0,2,3,0,0,19.4,16.6,84.0,0.0,,70.0,13.0,,1009.7,,No Rain,1993-6-6
1993,13,Pocono,Pocono International Raceway,2.5,paved track,200,Kyle Petty,Ken Schrader,Harry Gant,Jimmy Spencer,Ted Musgrave,Pontiac,Chevrolet,Chevrolet,Ford,Ford,500.0,False,1,0,2,2,0,0,22.7,13.2,55.0,0.0,,130.0,14.8,,1023.0,,No Rain,1993-6-13
1993,14,Michigan,Michigan International Speedway,2.0,paved track,200,Ricky Rudd,Jeff Gordon,Ernie Irvan,Dale Jarrett,Rusty Wallace,Chevrolet,Chevrolet,Chevrolet,Chevrolet,Pontiac,400.0,False,1,0,0,4,0,0,26.7,24.0,85.0,0.0,,260.0,9.4,,1016.1,,No Rain,1993-6-20
1993,15,Daytona,Daytona International Speedway,2.5,paved track,160,Dale Earnhardt,Sterling Marlin,Ken Schrader,Ricky Rudd,Jeff Gordon,Chevrolet,Ford,Chevrolet,Chevrolet,Chevrolet,400.0,False,0,0,1,4,0,0,24.4,18.8,71.0,1.3,,230.0,9.0,,1016.6,,Light Rain,1993-7-3
1993,16,Loudon,New Hampshire International Speedway,1.058,paved track,300,Rusty Wallace,Mark Martin,Davey Allison,Dale Jarrett,Ricky Rudd,Pontiac,Ford,Ford,Chevrolet,Chevrolet,317.40000000000003,False,1,0,2,2,0,0,31.1,15.5,39.0,0.0,,290.0,20.5,,1008.6,,No Rain,1993-7-11
1993,17,Pocono,Pocono International Raceway,2.5,paved track,200,Dale Earnhardt,Rusty Wallace,Bill Elliott,Morgan Shepherd,Brett Bodine,Chevrolet,Pontiac,Ford,Ford,Ford,500.0,False,1,0,3,1,0,0,25.0,10.5,40.0,0.0,,320.0,14.8,,1015.8,,No Rain,1993-7-18
1993,18,Talladega,Talladega Superspeedway,2.66,paved track,188,Dale Earnhardt,Ernie Irvan,Mark Martin,Kyle Petty,Dale Jarrett,Chevrolet,Chevrolet,Ford,Pontiac,Chevrolet,500.08,False,1,0,1,3,0,0,31.7,24.3,65.0,0.0,,,0.0,,1015.4,,No Rain,1993-7-25
1993,20,Michigan,Michigan International Speedway,2.0,paved track,200,Mark Martin,Morgan Shepherd,Jeff Gordon,Dale Jarrett,Ted Musgrave,Ford,Ford,Chevrolet,Chevrolet,Ford,400.0,False,0,0,3,2,0,0,30.6,18.3,48.0,0.0,,330.0,9.4,,1017.6,,No Rain,1993-8-15
1993,21,Bristol,Bristol International Speedway,0.533,paved track,500,Mark Martin,Rusty Wallace,Dale Earnhardt,Harry Gant,Rick Mast,Ford,Pontiac,Chevrolet,Chevrolet,Ford,266.5,False,1,0,2,2,0,0,21.7,19.4,87.0,0.0,,,0.0,,1019.0,,No Rain,1993-8-28
1993,23,Richmond,Richmond International Raceway,0.75,paved track,400,Rusty Wallace,Bill Elliott,Dale Earnhardt,Ricky Rudd,Brett Bodine,Pontiac,Ford,Chevrolet,Chevrolet,Ford,300.0,False,1,0,2,2,0,0,22.8,8.9,41.0,0.0,,300.0,5.4,,1008.9,,No Rain,1993-9-11
1993,24,Dover,Dover Downs International Speedway,1.0,paved track,500,Rusty Wallace,Ken Schrader,Darrell Waltrip,Dale Jarrett,Harry Gant,Pontiac,Chevrolet,Chevrolet,Chevrolet,Chevrolet,500.0,False,1,0,0,4,0,0,18.9,18.2,96.0,0.0,,,0.0,,1015.5,,No Rain,1993-9-19
1993,25,Martinsville,Martinsville Speedway,0.526,paved track,500,Ernie Irvan,Rusty Wallace,Jimmy Spencer,Ricky Rudd,Dale Jarrett,Ford,Pontiac,Ford,Chevrolet,Chevrolet,263.0,False,1,0,2,2,0,0,16.1,15.6,97.0,0.0,,30.0,7.6,,1017.2,,No Rain,1993-9-26
1993,27,Charlotte,Charlotte Motor Speedway,1.5,paved track,334,Ernie Irvan,Mark Martin,Dale Earnhardt,Rusty Wallace,Jeff Gordon,Ford,Ford,Chevrolet,Pontiac,Chevrolet,501.0,False,1,0,2,2,0,0,24.4,13.9,52.0,0.0,,210.0,13.0,,1009.5,,No Rain,1993-10-10
1993,29,Phoenix,Phoenix International Raceway,1.0,paved track,312,Mark Martin,Ernie Irvan,Kyle Petty,Dale Earnhardt,Bill Elliott,Ford,Ford,Pontiac,Chevrolet,Ford,312.0,False,1,0,3,1,0,0,24.4,-12.0,8.0,0.0,,120.0,9.0,,1017.7,,No Rain,1993-10-31
1993,30,Atlanta,Atlanta Motor Speedway,1.522,paved track,328,Rusty Wallace,Ricky Rudd,Darrell Waltrip,Bill Elliott,Dick Trickle,Pontiac,Chevrolet,Chevrolet,Ford,Chevrolet,499.216,False,1,0,1,3,0,0,20.0,15.6,76.0,0.0,,120.0,13.0,,1021.9,,No Rain,1993-11-14
1994,1,Daytona,Daytona International Speedway,2.5,paved track,200,Sterling Marlin,Ernie Irvan,Terry Labonte,Jeff Gordon,Morgan Shepherd,Chevrolet,Ford,Chevrolet,Chevrolet,Ford,500.0,False,0,0,2,3,0,0,20.5,17.1,81.0,0.0,,70.0,20.2,,1019.0,,No Rain,1994-2-20
1994,3,Richmond,Richmond International Raceway,0.75,paved track,400,Ernie Irvan,Rusty Wallace,Jeff Gordon,Dale Earnhardt,Kyle Petty,Ford,Ford,Chevrolet,Chevrolet,Pontiac,300.0,False,1,0,2,2,0,0,7.8,-4.3,42.0,0.0,,330.0,11.2,,1016.0,,No Rain,1994-3-6
1994,4,Atlanta,Atlanta Motor Speedway,1.522,paved track,328,Ernie Irvan,Morgan Shepherd,Darrell Waltrip,Jeff Burton,Mark Martin,Ford,Ford,Chevrolet,Ford,Ford,499.216,False,0,0,4,1,0,0,12.8,-4.4,30.0,0.0,,90.0,14.8,,1029.7,,No Rain,1994-3-13
1994,6,Bristol,Bristol International Raceway,0.533,paved track,500,Dale Earnhardt,Ken Schrader,Lake Speed,Geoffrey Bodine,Michael Waltrip,Chevrolet,Chevrolet,Ford,Ford,Pontiac,266.5,False,1,0,2,2,0,0,18.9,8.8,52.0,0.0,,200.0,14.8,,1020.1,,No Rain,1994-4-10
1994,8,Martinsville,Martinsville Speedway,0.526,paved track,500,Rusty Wallace,Ernie Irvan,Mark Martin,Darrell Waltrip,Morgan Shepherd,Ford,Ford,Ford,Chevrolet,Ford,263.0,False,0,0,4,1,0,0,15.0,1.1,39.0,0.0,,180.0,13.0,,1019.6,,No Rain,1994-4-24
1994,9,Talladega,Talladega Superspeedway,2.66,paved track,188,Dale Earnhardt,Ernie Irvan,Michael Waltrip,Jimmy Spencer,Ken Schrader,Chevrolet,Ford,Pontiac,Ford,Chevrolet,500.08,False,1,0,2,2,0,0,22.8,16.6,68.0,0.0,,200.0,13.0,,1015.9,,No Rain,1994-5-1
1994,10,Sonoma,Sears Point Raceway,2.52,road course,74,Ernie Irvan,Geoffrey Bodine,Dale Earnhardt,"Wally Dallenbach, Jr.",Rusty Wallace,Ford,Ford,Chevrolet,Pontiac,Ford,186.48,False,1,0,3,1,0,0,17.8,11.1,65.0,0.0,,280.0,40.7,,1011.4,,No Rain,1994-5-15
1994,11,Charlotte,Charlotte Motor Speedway,1.5,paved track,400,Jeff Gordon,Rusty Wallace,Geoffrey Bodine,Dale Jarrett,Ernie Irvan,Chevrolet,Ford,Ford,Chevrolet,Ford,600.0,False,0,0,3,2,0,0,23.3,11.0,46.0,0.0,,140.0,7.6,,1019.0,,No Rain,1994-5-29
1994,12,Dover,Dover Downs International Speedway,1.0,paved track,500,Rusty Wallace,Ernie Irvan,Ken Schrader,Mark Martin,Jeff Gordon,Ford,Ford,Chevrolet,Ford,Chevrolet,500.0,False,0,0,3,2,0,0,25.0,7.2,32.0,0.0,,180.0,7.6,,1017.1,,No Rain,1994-6-5
1994,13,Pocono,Pocono International Raceway,2.5,paved track,200,Rusty Wallace,Dale Earnhardt,Ken Schrader,Morgan Shepherd,Mark Martin,Ford,Chevrolet,Chevrolet,Ford,Ford,500.0,False,0,0,3,2,0,0,17.8,16.7,93.0,0.0,,80.0,13.0,,1018.9,,No Rain,1994-6-12
1994,14,Michigan,Michigan International Speedway,2.0,paved track,200,Rusty Wallace,Dale Earnhardt,Mark Martin,Ricky Rudd,Morgan Shepherd,Ford,Chevrolet,Ford,Ford,Ford,400.0,False,0,0,4,1,0,0,32.8,20.7,49.0,0.0,,90.0,11.2,,1017.1,,No Rain,1994-6-19
1994,15,Daytona,Daytona International Speedway,2.5,paved track,160,Jimmy Spencer,Ernie Irvan,Dale Earnhardt,Mark Martin,Ken Schrader,Ford,Ford,Chevrolet,Ford,Chevrolet,400.0,False,0,0,3,2,0,0,22.7,20.4,87.0,0.0,,170.0,14.8,,1016.8,,No Rain,1994-7-2
1994,16,Loudon,New Hampshire International Speedway,1.058,paved track,300,Ricky Rudd,Dale Earnhardt,Rusty Wallace,Mark Martin,Todd Bodine,Ford,Chevrolet,Ford,Ford,Ford,317.40000000000003,False,0,0,4,1,0,0,22.8,21.1,90.0,0.0,,110.0,5.4,,1012.8,,No Rain,1994-7-10
1994,17,Pocono,Pocono International Raceway,2.5,paved track,200,Geoffrey Bodine,Ward Burton,Joe Nemechek,Jeff Burton,Morgan Shepherd,Ford,Chevrolet,Chevrolet,Ford,Ford,500.0,False,0,0,3,2,0,0,26.7,18.3,60.0,0.0,,340.0,9.4,,1018.0,,No Rain,1994-7-17
1994,18,Talladega,Talladega Superspeedway,2.66,paved track,188,Jimmy Spencer,Bill Elliott,Ernie Irvan,Ken Schrader,Sterling Marlin,Ford,Ford,Ford,Chevrolet,Chevrolet,500.08,False,0,0,3,2,0,0,30.6,19.0,50.0,0.0,,300.0,9.4,,1014.5,,No Rain,1994-7-24
1994,19,Indianapolis,Indianapolis Motor Speedway,2.5,paved track,160,Jeff Gordon,Brett Bodine,Bill Elliott,Rusty Wallace,Dale Earnhardt,Chevrolet,Ford,Ford,Ford,Chevrolet,400.0,False,0,0,3,2,0,0,20.0,8.3,47.0,0.0,,30.0,13.0,,1021.8,,No Rain,1994-8-6
1994,21,Michigan,Michigan International Speedway,2.0,paved track,200,Geoffrey Bodine,Mark Martin,Rick Mast,Rusty Wallace,Bobby Labonte,Ford,Ford,Ford,Ford,Pontiac,400.0,False,1,0,4,0,0,0,19.4,18.9,97.0,0.5,,190.0,9.4,,1008.0,,Light Rain,1994-8-21
1994,22,Bristol,Bristol International Raceway,0.533,paved track,500,Rusty Wallace,Mark Martin,Dale Earnhardt,Darrell Waltrip,Bill Elliott,Ford,Ford,Chevrolet,Chevrolet,Ford,266.5,False,0,0,3,2,0,0,25.0,19.4,71.0,0.0,,,0.0,,1019.7,,No Rain,1994-8-27
1994,24,Richmond,Richmond International Raceway,0.75,paved track,400,Terry Labonte,Jeff Gordon,Dale Earnhardt,Rusty Wallace,Ricky Rudd,Chevrolet,Chevrolet,Chevrolet,Ford,Ford,300.0,False,0,0,2,3,0,0,21.7,15.1,66.0,0.0,,170.0,0.0,,1016.0,,No Rain,1994-9-10
1994,25,Dover,Dover Downs International Speedway,1.0,paved track,500,Rusty Wallace,Dale Earnhardt,Darrell Waltrip,Ken Schrader,Geoffrey Bodine,Ford,Chevrolet,Chevrolet,Chevrolet,Ford,500.0,False,0,0,2,3,0,0,25.6,20.6,74.0,0.0,,210.0,9.4,,1008.7,,No Rain,1994-9-18
1994,26,Martinsville,Martinsville Speedway,0.526,paved track,500,Rusty Wallace,Dale Earnhardt,Bill Elliott,Kenny Wallace,Dale Jarrett,Ford,Chevrolet,Ford,Ford,Chevrolet,263.0,False,0,0,3,2,0,0,19.4,19.4,100.0,0.0,,160.0,5.4,,1016.8,,No Rain,1994-9-25
1994,28,Charlotte,Charlotte Motor Speedway,1.5,paved track,334,Dale Jarrett,Morgan Shepherd,Dale Earnhardt,Ken Schrader,Lake Speed,Chevrolet,Ford,Chevrolet,Chevrolet,Ford,501.0,False,0,0,2,3,0,0,22.8,17.3,71.0,0.0,,150.0,5.4,,1020.6,,No Rain,1994-10-9
1994,30,Phoenix,Phoenix International Raceway,1.0,paved track,312,Terry Labonte,Mark Martin,Sterling Marlin,Jeff Gordon,Ted Musgrave,Chevrolet,Ford,Chevrolet,Chevrolet,Ford,312.0,False,0,0,2,3,0,0,30.0,3.9,19.0,0.0,,230.0,9.0,,1007.2,,No Rain,1994-10-30
1994,31,Atlanta,Atlanta Motor Speedway,1.522,paved track,328,Mark Martin,Dale Earnhardt,Todd Bodine,Lake Speed,Mike Wallace,Ford,Chevrolet,Ford,Ford,Ford,499.216,False,0,0,4,1,0,0,15.0,-1.2,33.0,0.0,,80.0,14.8,,1024.1,,No Rain,1994-11-13
1995,1,Daytona,Daytona International Speedway,2.5,paved track,200,Sterling Marlin,Dale Earnhardt,Mark Martin,Ted Musgrave,Dale Jarrett,Chevrolet,Chevrolet,Ford,Ford,Ford,500.0,False,0,0,3,2,0,0,17.7,15.0,84.0,0.0,,50.0,18.4,,1021.2,,No Rain,1995-2-19
1995,3,Richmond,Richmond International Raceway,0.75,paved track,400,Terry Labonte,Dale Earnhardt,Rusty Wallace,Ken Schrader,Sterling Marlin,Chevrolet,Chevrolet,Ford,Chevrolet,Chevrolet,300.0,False,0,0,1,4,0,0,4.4,0.0,73.0,0.0,,20.0,5.4,,1030.5,,No Rain,1995-3-5
1995,4,Atlanta,Atlanta Motor Speedway,1.522,paved track,328,Jeff Gordon,Bobby Labonte,Terry Labonte,Dale Earnhardt,Dale Jarrett,Chevrolet,Chevrolet,Chevrolet,Chevrolet,Ford,499.216,False,0,0,1,4,0,0,16.7,-4.6,23.0,0.0,,190.0,16.6,,1029.1,,No Rain,1995-3-12
1995,6,Bristol,Bristol International Raceway,0.533,paved track,500,Jeff Gordon,Rusty Wallace,Darrell Waltrip,Bobby Hamilton,Ricky Rudd,Chevrolet,Ford,Chevrolet,Pontiac,Ford,266.5,False,1,0,2,2,0,0,10.0,-5.6,33.0,0.0,,260.0,14.8,,1012.4,,No Rain,1995-4-2
1995,8,Martinsville,Martinsville Speedway,0.526,paved track,356,Rusty Wallace,Ted Musgrave,Jeff Gordon,Darrell Waltrip,Mark Martin,Ford,Ford,Chevrolet,Chevrolet,Ford,187.256,True,0,0,3,2,0,0,22.8,11.2,48.0,0.0,,260.0,9.4,,1011.6,,No Rain,1995-4-23
1995,9,Talladega,Talladega Superspeedway,2.66,paved track,188,Mark Martin,Jeff Gordon,Morgan Shepherd,Darrell Waltrip,Bobby Labonte,Ford,Chevrolet,Ford,Chevrolet,Chevrolet,500.08,False,0,0,2,3,0,0,24.4,8.4,36.0,0.0,,220.0,16.6,,1013.8,,No Rain,1995-4-30
1995,10,Sonoma,Sears Point Raceway,2.52,road course,74,Dale Earnhardt,Mark Martin,Jeff Gordon,Ricky Rudd,Terry Labonte,Chevrolet,Ford,Chevrolet,Ford,Chevrolet,186.48,False,0,0,2,3,0,0,18.9,8.8,52.0,0.0,,290.0,25.9,,1010.4,,No Rain,1995-5-7
1995,11,Charlotte,Charlotte Motor Speedway,1.5,paved track,400,Bobby Labonte,Terry Labonte,Michael Waltrip,Sterling Marlin,Ricky Rudd,Chevrolet,Chevrolet,Pontiac,Chevrolet,Ford,600.0,False,1,0,1,3,0,0,20.6,18.9,90.0,0.0,,60.0,11.2,,1020.0,,No Rain,1995-5-28
