temp,dwpt,rhum,prcp,wspd,avg_pos_swap
18.9,7.6,48.0,0.0,14.8,13.9512195121951
26.1,14.6,49.0,0.0,7.6,10.1538461538462
25.0,12.9,47.0,0.0,22.3,11.5609756097561
24.4,21.7,85.0,0.0,9.4,8.61538461538461
18.3,17.8,97.0,0.0,18.7,9.52380952380952
22.2,7.2,38.0,0.0,13.0,9.75
21.3,21.1,99.0,2.5,18.7,10.4390243902439
25.0,15.6,56.0,0.0,13.0,8.38888888888889
23.9,16.2,62.0,0.0,5.4,12.046511627907
25.6,18.3,64.0,0.0,0.0,9.66666666666667
27.2,22.2,74.0,0.0,27.7,12.5909090909091
17.8,10.7,63.0,0.0,7.6,11.3809523809524
19.4,14.0,71.0,0.0,9.4,13.2682926829268
14.2,6.3,59.0,0.0,5.4,9.56756756756757
17.0,1.8,36.0,0.0,29.5,11.5
